Unnamed: 0,SupportTicketID,CustomerID,DateCreated,DateCompleted,Escalated,CustomerID2,CompletedTutorial,GeographyID,OriginalScore,Rating,Tenure,RoleID,GeographyID2,Continent,CountryRegion,RoleID2,RoleInOrg,Duration,Theme,Theme_Desc,Assigned_Resource,Text,Key Phrases,Sentiment
150,24418,10010462,18/07/2018,19/07/2018,0,10010462,no,2,10,High,7,1,2,Europe,France,1,publisher,1,design,"product design, website design",Amanda,The handle on my shovel is so slippery I can't use it. Did I get a dud? Can I return or exchange it?,"['handle', 'shovel', 'dud']",negative
157,124385,10044862,21/10/2018,26/10/2018,0,10044862,no,3,4,Low,53,2,3,Europe,Germany,2,consumer,5,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,Really happy with the price of this drill set. Do you offer discounts for a review?,"['price', 'drill set', 'discounts', 'review']",positive
164,9000,10003898,31/08/2018,2/9/2018,0,10003898,yes,1,7,High,39,1,1,Europe,UK,1,publisher,2,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,This watering can is cute but the price looks like an error.,"['price', 'watering', 'error']",negative
171,59592,10025204,24/05/2018,28/05/2018,0,10025204,no,1,8,High,1,2,1,Europe,UK,2,consumer,4,design,"product design, website design",Amanda,The wheels on my wheelbarrow can only move on the road. How on earth am I supposed to use this anywhere else?,"['wheelbarrow', 'road', 'wheels', 'earth']",neutral
178,100996,10041105,5/5/2018,11/5/2018,0,10041105,no,2,5,Low,28,1,2,Europe,France,1,publisher,6,speed,consider the delivery speed.,Amanda,The website says that my order is backordered. When will I get here then? Is there a chance it will get here sooner?,"['website', 'order', 'chance']",neutral
185,78473,10033315,22/11/2018,23/11/2018,0,10033315,yes,1,10,High,7,2,1,Europe,UK,2,consumer,1,features,"product features, website features, checkout features",Amanda,Your checkout made me go through the same process like ten times. So frustrating.,"['process', 'times', 'checkout']",negative
192,62931,10026597,16/08/2018,20/08/2018,0,10026597,no,3,9,High,24,2,3,Europe,Germany,2,consumer,4,support,"tech support, customer support, product support",Amanda,I've had to contact you a hundred times this week. Why can't I get a straight answer from someone about my problem?,"['straight answer', 'problem', 'times', 'week']",negative
199,227,10000105,4/9/2018,8/9/2018,0,10000105,yes,1,6,High,27,1,1,Europe,UK,1,publisher,4,security,"consider payment info, login info and pii.",Amanda,My credit card company says that there was a fraudulent charge from your website. Can you see if it was made from my account?,"['fraudulent charge', 'credit card company', 'website', 'account']",negative
206,56250,10023783,15/05/2018,19/05/2018,0,10023783,yes,1,8,High,17,3,1,Europe,UK,3,administrator,4,services,"delivery services, installation services, account services, payment services, or lack there of",Amanda,Some people were supposed to come to my house but they were no shows. How is my grandma supposed to put up these curtains herself?,"['house', 'shows', 'grandma', 'curtains', 'people']",neutral
213,17890,10007771,1/5/2018,4/5/2018,0,10007771,yes,3,9,High,9,1,3,Europe,Germany,1,publisher,3,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,Do these garden gnomes come with money inside them? Is that why they're so much more expensive than at Lowe's?,"['garden gnomes', 'money', ""Lowe's""]",negative
220,25475,10010874,25/09/2018,28/09/2018,1,10010874,no,2,6,High,3,1,2,Europe,France,1,publisher,3,design,"product design, website design",Amanda,The curtain rod doesn't come with ends to keep the curtains from falling off. Who designed this piece of trash?,"['ends', 'curtain rod', 'piece of trash', 'curtains']",negative
227,9876,10004271,3/10/2018,4/10/2018,0,10004271,yes,1,9,High,16,1,1,Europe,UK,1,publisher,1,speed,consider the delivery speed.,Amanda,I think my package is coming tomorrow but I'm not sure. Can you confirm?,['package'],neutral
234,56718,10023981,4/8/2018,5/8/2018,1,10023981,no,1,6,High,23,3,1,Europe,UK,3,administrator,1,other,Just make up something!,Amanda,Doorknob broke after one use. Now I'm locked in my house.,"['Doorknob', 'house']",negative
241,45575,10019284,17/06/2018,21/06/2018,0,10019284,no,2,7,High,29,2,2,Europe,France,2,consumer,4,speed,consider the delivery speed.,Amanda,Been waiting for almost a month. Did you guys forget about my order?,"['guys', 'order', 'month']",negative
248,25363,10010832,31/07/2018,4/8/2018,1,10010832,yes,2,9,High,7,1,2,Europe,France,1,publisher,4,speed,consider the delivery speed.,Amanda,My order showed up 2 days too early when I wasn't home. I think someone stole it from my porch. Can I get a refund?,"['order', 'days', 'porch', 'refund']",negative
255,45433,10019227,19/08/2018,23/08/2018,0,10019227,no,1,7,High,27,2,1,Europe,UK,2,consumer,4,features,"product features, website features, checkout features",Amanda,The hems of my curtains are falling apart. Can I receive a new set?,"['hems', 'curtains', 'new set']",negative
262,30894,10013194,19/11/2018,19/11/2018,0,10013194,yes,1,8,High,12,2,1,Europe,UK,2,consumer,0,features,"product features, website features, checkout features",Amanda,This drill only comes with one function. I thought it came with more. What am I supposed to do with this if it can't do much? Please respond asap,"['drill', 'function']",neutral
269,87030,10037050,12/9/2018,12/9/2018,0,10037050,no,2,8,High,18,2,2,Europe,France,2,consumer,0,support,"tech support, customer support, product support",Amanda,The checkout isn't giving me the discount when I input a coupon code.,"['discount', 'coupon code', 'checkout']",negative
276,16582,10007217,30/06/2018,4/7/2018,1,10007217,yes,1,6,High,11,1,1,Europe,UK,1,publisher,4,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,A screwdriver costs over a hundred dollars? Why are your prices so inflated.,"['screwdriver costs', 'dollars', 'prices']",negative
283,44011,10018664,2/6/2018,3/6/2018,0,10018664,no,2,8,High,17,2,2,Europe,France,2,consumer,1,speed,consider the delivery speed.,Amanda,Please refund my purchase since it has been shipped so late I no longer need it.,['purchase'],negative
297,50228,10021231,25/07/2018,26/07/2018,0,10021231,no,3,10,High,11,3,3,Europe,Germany,3,administrator,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,My receipt says that the discount was not applied. Can I get a partial refund?,"['receipt', 'discount', 'partial refund']",neutral
304,30963,10013218,8/11/2018,12/11/2018,0,10013218,yes,2,6,High,16,2,2,Europe,France,2,consumer,4,speed,consider the delivery speed.,Amanda,I think my package is lost since it's taking so long. Where is it?,['package'],negative
311,57447,10024273,11/5/2018,12/5/2018,0,10024273,yes,1,6,High,10,2,1,Europe,UK,2,consumer,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Amanda,I got billed the wrong amount for this garden hose. Can this get corrected immediately?,['garden hose'],negative
0,54073,10022852,9/7/2018,13/07/2018,0,10022852,no,3,10,High,11,3,3,Europe,Germany,3,administrator,4,support,"tech support, customer support, product support",Anthony,My team attempted to reach customer support and we were not able to ,"['customer support', 'team']",neutral
4,15632,10006750,12/8/2018,13/08/2018,0,10006750,yes,1,10,High,9,1,1,Europe,UK,1,publisher,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Babak,Do you guys match online pricing? ,"['guys', 'online pricing']",neutral
11,9654,10004157,27/07/2018,31/07/2018,0,10004157,no,3,9,High,15,1,3,Europe,Germany,1,publisher,4,reliability,"product reliability, website reliability, delivery reliability",Babak,The whole purpose of adjustable unit is to fit it into any size. The lowes setting and highest setting has 1.5 inch difference. This is not ADJUSTABLE,"['highest setting', 'purpose of adjustable unit', 'inch difference', 'lowes', 'size']",neutral
18,118593,10043929,4/9/2018,10/9/2018,0,10043929,no,1,3,Low,23,2,1,Europe,UK,2,consumer,6,reliability,"product reliability, website reliability, delivery reliability",Babak,Are these good for one time use? I have used it once and now it is not turning on? So what do we do now?,['time use'],positive
25,4581,10001976,31/05/2018,9/6/2018,0,10001976,no,2,7,High,19,1,2,Europe,France,1,publisher,9,speed,consider the delivery speed.,Babak,This delivery took so long that I no longer need this device. How can I return it?,"['delivery', 'device']",neutral
32,28115,10012056,30/08/2018,5/9/2018,0,10012056,no,2,8,High,23,1,2,Europe,France,1,publisher,6,design,"product design, website design",Babak,I ordered this unit assuming that you have accounted for the design needed to use this with other stuff around the house. The height of the unit doesn't account for the tray that we need to put under the unit. ,"['unit', 'stuff', 'house', 'height', 'tray', 'design']",neutral
39,50050,10021164,22/09/2018,22/09/2018,0,10021164,no,2,9,High,23,2,2,Europe,France,2,consumer,0,speed,consider the delivery speed.,Babak,It was delivered earlier than expected which is unheard off these days. I just want to make sure there is no mistake and this is my order.,"['mistake', 'days', 'order']",mixed
46,40750,10017321,21/10/2018,21/10/2018,0,10017321,yes,1,10,High,21,2,1,Europe,UK,2,consumer,0,support,"tech support, customer support, product support",Babak,I have being using this device for a year and I like it. I just need to change the door hinges. Would you be able to send me a pair of hinges for this unit?,"['pair of hinges', 'door hinges', 'unit', 'device', 'year']",neutral
53,22675,10009752,10/9/2018,11/9/2018,0,10009752,no,4,6,High,59,1,4,Europe,Spain,1,publisher,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Babak,I have seen similar products for slightly lower prices. How can I return this product?,"['similar products', 'lower prices']",neutral
60,71097,10030111,12/8/2018,13/08/2018,0,10030111,no,3,6,High,40,3,3,Europe,Germany,3,administrator,1,security,"consider payment info, login info and pii.",Babak,"shortly after I submitted my order with your website, the same card got multiple fraudulant transaction on them from the same state. I need to talk to a supervisor. ","['card', 'multiple fraudulant transaction', 'website', 'order', 'state', 'supervisor']",neutral
67,2595,10001135,1/11/2018,1/11/2018,0,10001135,yes,2,10,High,3,1,2,Europe,France,1,publisher,0,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Babak,"Too expensive for the quality of materials they have used, I want to return this product. ","['quality of materials', 'product']",negative
74,28991,10012426,25/07/2018,27/07/2018,0,10012426,no,1,8,High,29,2,1,Europe,UK,2,consumer,2,services,"delivery services, installation services, account services, payment services, or lack there of",Babak,I haven't receieved any communication about my order. Is it being shipped? ,"['communication', 'order']",neutral
81,49455,10020905,19/08/2018,27/08/2018,0,10020905,no,1,10,High,18,2,1,Europe,UK,2,consumer,8,speed,consider the delivery speed.,Babak,The package was shipped in two separate package. One was received earlier than the other one. They were one day late. ,"['separate package', 'day']",negative
88,45729,10019335,29/06/2018,29/06/2018,0,10019335,no,3,9,High,1,2,3,Europe,Germany,2,consumer,0,security,"consider payment info, login info and pii.",Babak,Your user community page is showing my fulll name which I didn't consent to it. How can I add a profile name different than my real name ?,"['user community page', 'fulll', 'profile']",neutral
95,40237,10017109,4/9/2018,8/9/2018,0,10017109,no,1,8,High,28,2,1,Europe,UK,2,consumer,4,speed,consider the delivery speed.,Babak,Is there an estimated delivery time. It would be nice to know when to expect it. ,['estimated delivery time'],positive
102,29927,10012789,31/10/2018,4/11/2018,0,10012789,no,1,9,High,9,2,1,Europe,UK,2,consumer,4,reliability,"product reliability, website reliability, delivery reliability",Babak,I will take the fridge to the dump and take the loss. I have been your customer for 15 years and have never had this problem. I was only able to use this for 2 weeks before the door gave out. Very disappointed with this transaction.,"['dump', 'years', 'weeks', 'transaction', 'fridge', 'loss', 'customer', 'problem', 'door']",negative
109,8929,10003867,3/6/2018,3/6/2018,0,10003867,yes,1,10,High,11,1,1,Europe,UK,1,publisher,0,services,"delivery services, installation services, account services, payment services, or lack there of",Babak,"shortly after I submitted my order with your website, the same card got multiple fraudulant transaction on them from the same state. I need to talk to a supervisor. ","['card', 'multiple fraudulant transaction', 'website', 'order', 'state', 'supervisor']",neutral
116,62388,10026357,22/09/2018,25/09/2018,0,10026357,no,3,8,High,50,2,3,Europe,Germany,2,consumer,3,security,"consider payment info, login info and pii.",Babak,I can't find any statement regarding how you handle my personal information. Do you have an information security guideline in the company that you could guide me to?,"['personal information', 'information security guideline', 'company', 'statement']",positive
123,86852,10036976,25/05/2018,1/6/2018,0,10036976,yes,2,6,High,55,2,2,Europe,France,2,consumer,7,speed,consider the delivery speed.,Babak,I have been tracking my shipment and it shows that it has been sitting in a warehouse for past 4 days. Will I get my order in time? Is there a problem with my order?,"['order', 'warehouse', 'days', 'time', 'problem', 'shipment']",mixed
130,69411,10029385,21/11/2018,21/11/2018,0,10029385,no,3,8,High,18,2,3,Europe,Germany,2,consumer,0,support,"tech support, customer support, product support",Babak,I got my order split in half. I have received part of my order when will I get the other part?,"['order split', 'half']",negative
137,60231,10025471,3/11/2018,7/11/2018,0,10025471,no,2,6,High,25,2,2,Europe,France,2,consumer,4,speed,consider the delivery speed.,Babak,"I think someone forgot about my order, no delivery in sight ","['order', 'delivery', 'sight']",neutral
144,57808,10024424,15/11/2018,19/11/2018,0,10024424,no,1,6,High,24,2,1,Europe,UK,2,consumer,4,reliability,"product reliability, website reliability, delivery reliability",Babak,Spent hours putting together. I was so excited no mess ups! I put it together with my husband and started putting stuff away. Closet is too small to fit regular hangers. ARE YOU KIDDING ME RIGHT NOW??? ,"['regular hangers', 'mess ups', 'Closet', 'husband', 'stuff', 'hours']",mixed
151,23545,10010119,10/10/2018,12/10/2018,0,10010119,no,1,9,High,4,1,1,Europe,UK,1,publisher,2,services,"delivery services, installation services, account services, payment services, or lack there of",Babak,My package was delivered damage. I want a new unit sent to me and instruction to ship the damaged one back. Who should I talk to about that ?,"['instruction', 'new unit', 'package', 'damage']",negative
158,22616,10009722,18/08/2018,18/08/2018,0,10009722,no,3,7,High,10,1,3,Europe,Germany,1,publisher,0,other,Just make up something!,Babak,I heard that your organization is sponsoring a challenge to help the homelessness in Washington. Do you have any information about that? ,"['challenge', 'homelessness', 'Washington', 'organization', 'information']",positive
165,18967,10008217,7/9/2018,8/9/2018,0,10008217,yes,2,6,High,29,1,2,Europe,France,1,publisher,1,speed,consider the delivery speed.,Babak,"I don't know what to say about the speed of delivery, because I still haven't received my package!!!","['speed of delivery', 'package']",negative
172,22940,10009869,28/05/2018,1/6/2018,0,10009869,no,2,6,High,7,1,2,Europe,France,1,publisher,4,speed,consider the delivery speed.,Babak,"Is there a way for you to give me the contact information of the delivery person. I am getting ready to leave town, I want to coordinate delivery time with him/her.","['delivery person', 'delivery time', 'contact information', 'town', 'way']",neutral
186,54298,10022955,16/09/2018,20/09/2018,0,10022955,no,1,6,High,40,3,1,Europe,UK,3,administrator,4,reliability,"product reliability, website reliability, delivery reliability",Babak,You website is a blackhole. I just submitted my order and now there is no evidence of me ordering anything. ,"['website', 'blackhole', 'order', 'evidence']",neutral
200,18184,10007883,6/11/2018,7/11/2018,0,10007883,yes,1,9,High,17,1,1,Europe,UK,1,publisher,1,reliability,"product reliability, website reliability, delivery reliability",Babak,"There was some damage to the box. There were some dings 3 total, and the top left rear faucet mount plate is bent slightly. Also the whole plate is not square so it won't easily sit flush to a wall. Where the legs are substantial, when attached the unit is wobbly. I will find a way to stabilize or attach it to the wall. Several of the weld joints are rough sanded and not polished.†","['wall', 'left rear faucet mount plate', 'weld joints', 'unit', 'damage', 'box', 'legs', 'dings', 'way']",negative
214,67889,10028684,20/11/2018,21/11/2018,0,10028684,yes,1,7,High,29,2,1,Europe,UK,2,consumer,1,reliability,"product reliability, website reliability, delivery reliability",Babak,your website doesn't have all of the inventory you carry. I have to call everytime to order what I need because it is not listed on the website. ,"['website', 'inventory', 'everytime']",neutral
221,26145,10011193,13/11/2018,15/11/2018,1,10011193,no,2,7,High,60,1,2,Europe,France,1,publisher,2,services,"delivery services, installation services, account services, payment services, or lack there of",Babak,There seem to be a mistake with my order. I ordered one unit and was charged for 4. I want to get a refund for the other 3. ,"['mistake', 'order', 'unit', 'refund']",negative
228,46014,10019442,20/09/2018,20/09/2018,0,10019442,no,2,9,High,21,2,2,Europe,France,2,consumer,0,features,"product features, website features, checkout features",Babak,the inisde lamp doesn't turn on when the door is open. Is there something wrong with my unit or is this how it is designed?,"['door', 'inisde lamp', 'unit']",negative
242,27319,10011704,28/09/2018,29/09/2018,0,10011704,yes,2,9,High,25,1,2,Europe,France,1,publisher,1,speed,consider the delivery speed.,Babak,"Exactly what I wanted, and it came much earlier then expected. Thank you so much!",[],positive
249,59428,10025132,19/06/2018,20/06/2018,0,10025132,no,1,8,High,18,2,1,Europe,UK,2,consumer,1,reliability,"product reliability, website reliability, delivery reliability",Babak,I have been waiting for confirmation email but I haven't received it. What would you recommend?,['confirmation email'],positive
256,7932,10003450,16/08/2018,20/08/2018,0,10003450,yes,3,6,High,22,1,3,Europe,Germany,1,publisher,4,other,Just make up something!,Babak,I really like the ìquick boilî feature. I just wish we could customize the minutes. ,"['ìquick boilî feature', 'minutes']",neutral
270,2506,10001103,18/05/2018,19/05/2018,0,10001103,yes,3,7,High,29,1,3,Europe,Germany,1,publisher,1,features,"product features, website features, checkout features",Babak,"I have filled out my information 3 times already and still nothing. When you fill out the page and get to the end of the page, it forces you to create an account. When you processed to do that , it erases all of your input. ","['page', 'end', 'information', 'times', 'account', 'input']",neutral
284,54637,10023100,14/05/2018,15/05/2018,0,10023100,no,2,9,High,4,2,2,Europe,France,2,consumer,1,design,"product design, website design",Babak,"The capacity is bogus, I don't understand the design decision, there is a cabinet that can't really fit anything in it (on the left), and the middle and top holders constantly fight for space.","['design decision', 'holders', 'cabinet', 'left', 'space', 'capacity']",negative
291,112325,10042914,2/11/2018,2/11/2018,0,10042914,no,1,1,Low,51,2,1,Europe,UK,2,consumer,0,speed,consider the delivery speed.,Babak,I ordered this from Mix Wholesale in the afternoon and it arrived the next day. They are in Tamarack FL and I am just outside of Tampa FL. Still to process and ship that fast was impressive.,"['afternoon', 'process', 'ship', 'Mix Wholesale', 'Tampa', 'Tamarack FL', 'day']",positive
298,71255,10030178,1/6/2018,2/6/2018,0,10030178,yes,2,6,High,0,2,2,Europe,France,2,consumer,1,services,"delivery services, installation services, account services, payment services, or lack there of",Babak,I have only used this device for 2 months and it already broke. what is your return policy? I want to return this and get a refund. ,"['return policy', 'device', 'months', 'refund']",negative
305,5214,10002239,25/09/2018,29/09/2018,0,10002239,yes,1,10,High,1,1,1,Europe,UK,1,publisher,4,features,"product features, website features, checkout features",Babak,The design guide points a connection which doesn't exists on the unit. The device wouldn't be stable without that. ,"['connection', 'design guide', 'device', 'unit']",negative
410,49880,10021086,11/6/2018,15/06/2018,0,10021086,no,1,10,High,6,2,1,Europe,UK,2,consumer,4,features,"product features, website features, checkout features",Babak,I never received an email for my order. How long does it usually take?,"['email', 'order']",negative
494,19226,10008314,16/10/2018,16/10/2018,0,10008314,yes,1,7,High,33,1,1,Europe,UK,1,publisher,0,services,"delivery services, installation services, account services, payment services, or lack there of",Babak,"Even though, I created an account on your website, It is telling me now that I don't have an account. Who can fix that ? I need to check the status of my orders. ","['account', 'status', 'orders', 'website']",positive
795,38461,10016366,24/06/2018,26/06/2018,0,10016366,no,1,6,High,3,2,1,Europe,UK,2,consumer,2,design,"product design, website design",Babak,"I removed the top to clean the unit and now I am not able to close it. The top seems to be designed for one time used. Whoever designed this , didn't care that the unit needs to be cleaned at least once a week. ","['unit', 'time', 'week']",mixed
1082,54404,10022987,3/8/2018,3/8/2018,0,10022987,no,1,7,High,9,3,1,Europe,UK,3,administrator,0,design,"product design, website design",Babak,The on/off button is located on the side and forces me to move the unit out of its place everytime to turn it on/off. Really bad design decision. ,"['unit', 'place everytime', 'bad design decision', 'button']",negative
1411,68034,10028756,22/08/2018,28/08/2018,0,10028756,no,1,10,High,16,2,1,Europe,UK,2,consumer,6,design,"product design, website design",Babak,"I get that this kind of devices, we donít need them to look pretty. But , Yellow?? As the color of the unit is just wrong design choice. ","['unit', 'wrong design choice', 'kind of devices', 'donít', 'color']",negative
1467,30935,10013210,25/09/2018,26/09/2018,0,10013210,no,1,7,High,17,2,1,Europe,UK,2,consumer,1,design,"product design, website design",Babak,"You know , I like the device and I will buy again but I hope that you guys offer design variation. ","['guys', 'design variation', 'device']",positive
2,45587,10019287,1/7/2018,5/7/2018,0,10019287,no,2,10,High,29,2,2,Europe,France,2,consumer,4,speed,consider the delivery speed.,Claire,"It took way too long to get my appliances delivered to my house! I'm so upset, I wanted them before my dinner party!","['appliances', 'dinner party', 'way', 'house']",negative
9,103145,10041444,8/11/2018,11/11/2018,1,10041444,yes,2,2,Low,19,2,2,Europe,France,2,consumer,3,reliability,"product reliability, website reliability, delivery reliability",Claire,Half of the time your website doesn't work. How can I order things if it isn't reliable? FIX IT!,"['Half', 'time', 'website', 'things', 'FIX']",mixed
16,83537,10035506,29/08/2018,30/08/2018,0,10035506,yes,1,9,High,23,2,1,Europe,UK,2,consumer,1,price,"cost of the goods to customers.  compare to competitors, sales, discounts",Claire,I love how low your prices are! Please continue to keep them so low.,['prices'],positive
23,86589,10036857,6/9/2018,7/9/2018,0,10036857,yes,1,8,High,8,2,1,Europe,UK,2,consumer,1,reliability,"product reliability, website reliability, delivery reliability",Claire,Wow this product is super dependable! I've used it for 25 years and it keeps working,"['product', 'years']",positive
30,49846,10021079,13/07/2018,14/07/2018,0,10021079,no,1,8,High,7,2,1,Europe,UK,2,consumer,1,features,"product features, website features, checkout features",Claire,What are the new features on the Kraus sink?,"['new features', 'Kraus sink']",neutral
44,52172,10022074,4/11/2018,8/11/2018,0,10022074,no,2,7,High,26,2,2,Europe,France,2,consumer,4,features,"product features, website features, checkout features",Claire,Where can I find the FAQ on your website?,"['FAQ', 'website']",neutral
51,47417,10020034,17/11/2018,18/11/2018,1,10020034,yes,2,7,High,5,2,2,Europe,France,2,consumer,1,speed,consider the delivery speed.,Claire,The two day shipping actually took four days. It was way too slow.,"['day shipping', 'days']",negative
65,28233,10012116,9/6/2018,13/06/2018,0,10012116,no,1,10,High,7,1,1,Europe,UK,1,publisher,4,design,"product design, website design",Claire,I'm digging how cool your website is! Who's the designer I want to hire them for my start up!,"['website', 'designer', 'start']",positive
72,19608,10008463,27/06/2018,1/7/2018,0,10008463,yes,1,7,High,45,1,1,Europe,UK,1,publisher,4,security,"consider payment info, login info and pii.",Claire,Help! My account was hacked!,"['Help', 'account']",negative
79,125517,10045033,21/05/2018,30/05/2018,0,10045033,no,3,3,Low,49,2,3,Europe,Germany,2,consumer,9,security,"consider payment info, login info and pii.",Claire,Please delete all of my private user information.,['private user information'],neutral
86,101069,10041114,1/12/2018,6/12/2018,0,10041114,no,1,3,Low,0,3,1,Europe,UK,3,administrator,5,reliability,"product reliability, website reliability, delivery reliability",Claire,Your website keeps crashing and forgetting everything in my cart. I'm so frusterated,"['website', 'cart']",negative
